"EMFAC2017 (v1.0.2) Emissions Inventory"
"Region Type: County"
"Region: SAN MATEO"
"Calendar Year: 2017"
"Season: Annual"
"Vehicle Classification: EMFAC2011 Categories"
"Units: miles/day for VMT, trips/day for Trips, tons/day for Emissions, 1000 gallons/day for Fuel Consumption"

Region,"Calendar Year","Vehicle Category","Model Year",Speed,Fuel,Population,VMT,Trips,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HTSK,ROG_RUNLS,ROG_RESTL,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HTSK,TOG_RUNLS,TOG_RESTL,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,PM2_5_RUNEX,PM2_5_IDLEX,PM2_5_STREX,PM2_5_TOTEX,PM2_5_PMTW,PM2_5_PMBW,PM2_5_TOTAL,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,"Fuel Consumption"
"SAN MATEO",2017,LDA,Aggregated,Aggregated,GAS,264816.69396696985,9783547.009976558,1251389.1018953535,0.2165993826836199,0,0.558437610991492,0.7750369936751119,0.07456926400583652,0.19339450567943547,0.4004792600150727,0.06838264895799145,1.5118626723334483,0.31357024992744464,0,0.6113375818578671,0.9249078317853118,0.07456926400583652,0.1933945056793559,0.4004792600149079,0.06838264895799145,1.6617335104434037,10.500109535998556,0,3.773425111796702,14.273534647795259,0.8489246725051935,0,0.38680784975963783,1.2357325222648314,3120.7646392702013,0,85.7105380270515,3206.4751772972527,0.050383026714811756,0,0.11244495560498577,0.16282798231979753,0.017235156554486243,0,0.0031453679459744104,0.020380524500460653,0.08627611624046107,0.396330908979618,0.5029875497205397,0.015849439047173505,0,0.002895350193254362,0.018744789240427866,0.021569029060115267,0.16985610384840774,0.21016992214895086,0.030882495972018642,0,0.0008481752555357604,0.0317306712275544,0.07585476906692135,0,0.043953847038803305,0.11980861610572466,338.4537240194332
"SAN MATEO",2017,LDA,Aggregated,Aggregated,DSL,2429.365211452261,89454.64705619673,11386.476149986547,0.0023019093309007126,0,0,0.0023019093309007126,0,0,0,0,0.0023019093309007126,0.0026205707318997192,0,0,0.0026205707318997192,0,0,0,0,0.0026205707318997192,0.0262754097274207,0,0,0.0262754097274207,0.017871198476775273,0,0,0.017871198476775273,22.540443708946974,0,0,22.540443708946974,0.0001069192884820793,0,0,0.0001069192884820793,0.0013646080816953018,0,0,0.0013646080816953018,0.000788854954118357,0.003623802445481203,0.005777265481294862,0.0013055757401330297,0,0,0.0013055757401330297,0.00019721373852958925,0.0015530581909205152,0.003055847669583134,0.00021308825357021144,0,0,0.00021308825357021144,0.003543043856886235,0,0,0.003543043856886235,2.008872650818337
"SAN MATEO",2017,LDA,Aggregated,Aggregated,ELEC,4565.450605502064,163612.83899057895,23095.807953415948,0,0,0,0,0.00006040312114832885,0.00012444310222037118,0,0.000015740538766976238,0.00020058676213567626,0,0,0,0,0.00006040312114832885,0.00012444310222031998,0,0.000015740538766976238,0.00020058676213562508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014428182642541266,0.006627946401417393,0.008070764665671519,0,0,0,0,0.00036070456606353165,0.0028405484577503116,0.0032012530238138435,0,0,0,0,0,0,0,0,0
"SAN MATEO",2017,LDT1,Aggregated,Aggregated,GAS,29033.902952192515,1034807.9359783474,134908.59782151075,0.05113238269642567,0,0.08045728246044367,0.13158966515686935,0.014716203203132073,0.03345934809590793,0.1268447588120465,0.012453880688116812,0.3190638559560727,0.07125612565383181,0,0.088075869691428,0.15933199534525982,0.014716203203132073,0.03345934809589417,0.12684475881199428,0.012453880688116812,0.3468061861443972,1.9137342024296897,0,0.43613265587677497,2.3498668583064646,0.19204368374201608,0,0.0524251612921075,0.24446884503412358,378.92336592987203,0,10.673085311988267,389.5964512418603,0.010371914372264023,0,0.015265818077141724,0.025637732449405745,0.0027725174075388112,0,0.0004609387783231737,0.003233456185861985,0.009125443939706018,0.041920008098024514,0.05427890822359252,0.00255224877845871,0,0.0004243990773721804,0.0029766478558308903,0.0022813609849265046,0.017965717756296216,0.02322372659705361,0.0037497538823592883,0,0.00010561883136229372,0.003855372713721582,0.012966702017576158,0,0.0051047252009622165,0.018071427218538376,41.1231531499672
"SAN MATEO",2017,LDT1,Aggregated,Aggregated,DSL,23.5355467647063,449.2981555970854,79.63426388055298,0.00013328534717987382,0,0,0.00013328534717987382,0,0,0,0,0.00013328534717987382,0.00015173650635231535,0,0,0.00015173650635231535,0,0,0,0,0.00015173650635231535,0.0007256294392869225,0,0,0.0007256294392869225,0.0007497103211052291,0,0,0.0007497103211052291,0.21435218181726426,0,0,0.21435218181726426,0.0000061908496109109715,0,0,0.0000061908496109109715,0.00010689366198218751,0,0,0.00010689366198218751,0.000003962131511137061,0.00001820104162928587,0.00012905683512261045,0.00010226948948195202,0,0,0.00010226948948195202,0.0000009905328777842653,0.000007800446412551088,0.00011106046877228737,0.0000020263989769764434,0,0,0.0000020263989769764434,0.00003369317795178839,0,0,0.00003369317795178839,0.019103716025120714
"SAN MATEO",2017,LDT1,Aggregated,Aggregated,ELEC,78.21045178387621,2600.534782919375,385.8328096927863,0,0,0,0,0.0000010347621302645742,0.000002078915440993306,0,0.0000002696501954929041,0.0000033833277667507846,0,0,0,0,0.0000010347621302645742,0.0000020789154409924505,0,0.0000002696501954929041,0.000003383327766749929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000022932791245314593,0.00010534750978316389,0.0001282803010284785,0,0,0,0,0.000005733197811328648,0.000045148932764213106,0.00005088213057554176,0,0,0,0,0,0,0,0,0
"SAN MATEO",2017,LDT2,Aggregated,Aggregated,GAS,94977.83560917774,3474529.7794120423,449813.864335278,0.0961740527333443,0,0.2311174722036294,0.3272915249369737,0.025960290017440702,0.06505632269263026,0.21723637482552882,0.025798604489431897,0.6613431169620054,0.13624876586021573,0,0.25302695324007374,0.38927571910028946,0.025960290017440702,0.06505632269260347,0.21723637482543953,0.025798604489431897,0.7233273111252051,4.385401664335412,0,1.676099504607121,6.0615011689425335,0.4895945643045716,0,0.21052594168154404,0.7001205059861156,1416.2761332763394,0,39.76859997153702,1456.0447332478764,0.02144730195417956,0,0.04701808467797312,0.06846538663215268,0.006032028872937674,0,0.0010085326831964633,0.007040561556134137,0.03064010780791609,0.14075299524261456,0.1784336646066648,0.005549814083034271,0,0.0009279980836384241,0.006477812166672694,0.007660026951979023,0.06032271224683479,0.0744605513654865,0.014015200451451205,0,0.00039354253537076067,0.014408742986821965,0.03592565215940149,0,0.020389374666042105,0.05631502682544359,153.6901847224065
"SAN MATEO",2017,LDT2,Aggregated,Aggregated,DSL,459.29793411762085,19950.770200401395,2288.5370798751155,0.0003902626911970415,0,0,0.0003902626911970415,0,0,0,0,0.0003902626911970415,0.00044428812750118576,0,0,0.00044428812750118576,0,0,0,0,0.00044428812750118576,0.002780126426159657,0,0,0.002780126426159657,0.0014693744474415483,0,0,0.0014693744474415483,6.890143406261315,0,0,6.890143406261315,0.000018126956046336508,0,0,0.000018126956046336508,0.00017549795278825578,0,0,0.00017549795278825578,0.0001759356772284453,0.0008082045172681707,0.0011596381472848717,0.0001679059890358464,0,0,0.0001679059890358464,0.00004398391930711133,0.0003463733645435017,0.0005582632728864594,0.00006513663369926279,0,0,0.00006513663369926279,0.0010830345925679126,0,0,0.0010830345925679126,0.6140704605367011
"SAN MATEO",2017,LDT2,Aggregated,Aggregated,ELEC,459.6498468568153,16479.043345920014,2365.875925725274,0,0,0,0,0.000006081389940358312,0.00001274763542628957,0,0.0000015847584080670922,0.000020413783774714973,0,0,0,0,0.000006081389940358312,0.000012747635426284325,0,0.0000015847584080670922,0.000020413783774709728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014532028698736714,0.0006675650683482177,0.0008128853553355848,0,0,0,0,0.000036330071746841784,0.0002860993150063791,0.00032242938675322087,0,0,0,0,0,0,0,0,0
"SAN MATEO",2017,LHD1,Aggregated,Aggregated,GAS,7376.640840872381,289736.86783535645,109900.95733414558,0.02813614978525081,0.0038772210524736952,0.020602179098272406,0.052615549935996916,0.0003450441801716652,0.016074920890780792,0.11269575293909402,0.0001951807958039568,0.18192644874184735,0.038993496576710536,0.005645391814179498,0.022537339221655447,0.06717622761254548,0.0003450441801716652,0.01607492089077418,0.11269575293904764,0.0001951807958039568,0.19648712641834296,0.5152348389089061,0.030383998069621648,0.24244868222659743,0.7880675192051252,0.10372045219353225,0.00033811251824587834,0.07089280084584772,0.17495136555762586,333.87565382792144,1.0097111826975058,2.4247839298895193,337.3101489405085,0.005288095004676187,0.001050617439167119,0.003910882372083666,0.010249594815926973,0.0008198157007938767,0,0.00006944202148994066,0.0008892577222838174,0.0025550418128537436,0.02441342452181752,0.02785772405695508,0.0007554163331442486,0,0.00006430273842200859,0.0008197190715662572,0.0006387604532134359,0.010462896223636081,0.011921375748415775,0.0033039702529143963,0.000009991910681175239,0.000023995202651789934,0.0033379573662473618,0.006171573688074183,0.00002643004746336023,0.005504496861897204,0.011702500597434749,35.60416648997538
