"EMFAC2017 (v1.0.2) Emissions Inventory"
"Region Type: MPO"
"Region: MCAG"
"Calendar Year: 2016"
"Season: Annual"
"Vehicle Classification: EMFAC2011 Categories"
"Units: miles/day for VMT, trips/day for Trips, tons/day for Emissions, 1000 gallons/day for Fuel Consumption"

Region,"Calendar Year","Vehicle Category","Model Year",Speed,Fuel,Population,VMT,Trips,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HTSK,ROG_RUNLS,ROG_RESTL,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HTSK,TOG_RUNLS,TOG_RESTL,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,PM2_5_RUNEX,PM2_5_IDLEX,PM2_5_STREX,PM2_5_TOTEX,PM2_5_PMTW,PM2_5_PMBW,PM2_5_TOTAL,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,"Fuel Consumption"
MCAG,2016,LDA,Aggregated,Aggregated,GAS,88482.83303479978,3745892.5496007777,408174.66138777323,0.16006243986074764,0,0.23865067680213237,0.39871311666288,0.06517103868488473,0.09677110922568383,0.17567592461419929,0.04056005031770347,0.7768912395053513,0.2275282114157923,0,0.2612375135550146,0.48876572497080695,0.06517103868488473,0.09677110922564401,0.17567592461412693,0.04056005031770347,0.8669438478131661,6.380004115085407,0,1.2901925297736214,7.670196644859029,0.5383237563393213,0,0.15473480596851258,0.6930585623078338,1311.5484038885409,0,29.60459468573404,1341.152998574275,0.03498426976600818,0,0.04620177041826619,0.08118604018427436,0.00717413469811917,0,0.001105479581848751,0.008279614279967921,0.03303311781545866,0.1517458849647632,0.19305861706018979,0.006601752339462396,0,0.0010187455046283458,0.007620497844090742,0.008258279453864665,0.06503395069918426,0.08091272799713967,0.012978834671001421,0,0.0002929614635563253,0.013271796134557746,0.04272854958314735,0,0.01583958420211585,0.058568133785263196,141.56299417539913
MCAG,2016,LDA,Aggregated,Aggregated,DSL,485.7302440179085,20872.881780454252,2228.9520064600183,0.0009031758417063579,0,0,0.0009031758417063579,0,0,0,0,0.0009031758417063579,0.001028205648572812,0,0,0.001028205648572812,0,0,0,0,0.001028205648572812,0.009508650332434759,0,0,0.009508650332434759,0.00864319703935286,0,0,0.00864319703935286,5.544058262615948,0,0,5.544058262615948,0.000041950791489976366,0,0,0.000041950791489976366,0.0005471579709016405,0,0,0.0005471579709016405,0.00018406730942545848,0.0008455592026731999,0.001576784483000299,0.0005234881592831588,0,0,0.0005234881592831588,0.00004601682735636462,0.0003623825154313713,0.0009318875020708948,0.00005241128826596304,0,0,0.00005241128826596304,0.0008714487533261815,0,0,0.0008714487533261815,0.49410327330388243
MCAG,2016,LDA,Aggregated,Aggregated,ELEC,208.28715877917313,7479.892749715993,1057.9272535092684,0,0,0,0,0.000006539568051219486,0.000005700244374031464,0,0.0000020051699386176046,0.000014244982363868555,0,0,0,0,0.000006539568051219486,0.000005700244374029119,0,0.0000020051699386176046,0.00001424498236386621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00006596136306010611,0.0003030100115573624,0.0003689713746174685,0,0,0,0,0.000016490340765026527,0.0001298614335245839,0.00014635177428961042,0,0,0,0,0,0,0,0,0
MCAG,2016,LDT1,Aggregated,Aggregated,GAS,10545.207447748735,350605.8978595223,45284.473879635145,0.05220806071710284,0,0.05145675711839572,0.10366481783549857,0.02149367663971442,0.027883907511914285,0.09763902901897419,0.012094283591363827,0.2627757145974653,0.07226197550426346,0,0.0563162221537903,0.12857819765805376,0.02149367663971442,0.02788390751190283,0.09763902901893401,0.012094283591363827,0.28768909441996887,1.6833524192064102,0,0.18098838635226577,1.864340805558676,0.175213060728377,0,0.029636331059218233,0.20484939178759523,146.80407633856316,0,4.022335632542186,150.82641197110536,0.010191502859736825,0,0.008961915401486638,0.019153418261223465,0.0017645215237350402,0,0.00026793250962980333,0.0020324540333648434,0.0030918147750988167,0.01420302412311019,0.01932729293157385,0.0016259338946313304,0,0.00024727675064195386,0.0018732106452732842,0.0007729536937747042,0.006087010338475796,0.008733174677523785,0.0014527453429688324,0,0.00003980427181433979,0.0014925496147831722,0.010432437682058048,0,0.0022071118956804533,0.012639549577738501,15.920210820137438
MCAG,2016,LDT1,Aggregated,Aggregated,DSL,17.9770753192185,422.5413792484721,66.23896217978546,0.0000910230169447625,0,0,0.0000910230169447625,0,0,0,0,0.0000910230169447625,0.00010362365317026697,0,0,0.00010362365317026697,0,0,0,0,0.00010362365317026697,0.0005999835102658318,0,0,0.0005999835102658318,0.000612072839689894,0,0,0.000612072839689894,0.21158893330275688,0,0,0.21158893330275688,0.0000042278451529705455,0,0,0.0000042278451529705455,0.00006553857919525126,0,0,0.00006553857919525126,0.0000037261771334334593,0.00001711712620670995,0.00008638188253539467,0.00006270340927030578,0,0,0.00006270340927030578,0.0000009315442833583648,0.000007335911231447123,0.00007097086478511127,0.0000020002763412493065,0,0,0.0000020002763412493065,0.00003325883376580906,0,0,0.00003325883376580906,0.01885744694364718
MCAG,2016,LDT2,Aggregated,Aggregated,GAS,33278.62265023394,1236789.8079377473,150856.16047101413,0.09484576096359205,0,0.12350318163958642,0.21834894260317847,0.031784252758546835,0.04593796615841066,0.15009793150270567,0.020346788588381372,0.466515881611223,0.13273947406335476,0,0.13518850296563045,0.2679279770289852,0.031784252758546835,0.04593796615839177,0.15009793150264403,0.020346788588381372,0.5160949160369492,3.4404492825849715,0,0.6511798494803813,4.091629132065353,0.4436280645971115,0,0.10964845260683631,0.5532765172039478,580.1109490924229,0,14.821336487410063,594.9322855798329,0.019467274702460492,0,0.023046800180923612,0.0425140748833841,0.0030763021931568095,0,0.00047379214016942073,0.00355009433332623,0.010906619156206242,0.05010228174882243,0.0645589952383549,0.0028335538057769143,0,0.00043694124220973663,0.003270495047986651,0.0027266547890515604,0.021472406463781044,0.027469556300819258,0.005740668111665155,0,0.00014666913954761206,0.005887337251212767,0.0270571031420054,0,0.008573601641965817,0.03563070478397122,62.79700807277472
MCAG,2016,LDT2,Aggregated,Aggregated,DSL,46.7524921299787,1639.5140075459171,202.96812616004797,0.00016667595945187442,0,0,0.00016667595945187442,0,0,0,0,0.00016667595945187442,0.0001897494984652487,0,0,0.0001897494984652487,0,0,0,0,0.0001897494984652487,0.000957277049614149,0,0,0.000957277049614149,0.0008945008809146953,0,0,0.0008945008809146953,0.641291284737073,0,0,0.641291284737073,0.000007741779727131642,0,0,0.000007741779727131642,0.00011158088356093655,0,0,0.00011158088356093655,0.000014458038679494699,0.00006641661518392876,0.00019245553742436002,0.00010675394393003083,0,0,0.00010675394393003083,0.0000036145096698736748,0.000028464263650255186,0.00013883271725015968,0.000006062508868899459,0,0,0.000006062508868899459,0.00010080205945371405,0,0,0.00010080205945371405,0.05715382269094849
MCAG,2016,LDT2,Aggregated,Aggregated,ELEC,6.799557013771617,249.99072046251464,34.87077139288696,0,0,0,0,0.00000021348491222567132,0.00000018788807811793434,0,0.00000006545899132642373,0.00000046683198167002936,0,0,0,0,0.00000021348491222567132,0.0000001878880781178571,0,0.00000006545899132642373,0.0000004668319816699522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000022045407903357344,0.000010127109255604777,0.000012331650045940511,0,0,0,0,0.0000005511351975839336,0.000004340189680973477,0.000004891324878557411,0,0,0,0,0,0,0,0,0
MCAG,2016,LHD1,Aggregated,Aggregated,GAS,3690.2580100767755,124418.31711997114,54979.34586570894,0.024432683168880278,0.001944738406514526,0.01338219470002874,0.03975961627542354,0.0004741897355060133,0.013168197377272902,0.08452900886532277,0.00017182017522813085,0.13810283242875335,0.03313264515317451,0.002823031153949716,0.014628874915764544,0.05058455122288877,0.0004741897355060133,0.013168197377267482,0.084529008865288,0.00017182017522813085,0.14892776737617838,0.454944706710651,0.015066980113812205,0.13472072641787336,0.6047324132423366,0.0774971671353663,0.00016954145672910432,0.03549119753783851,0.11315790612993391,145.31262533389258,0.5088147421795153,1.2551078914645863,147.07654796753667,0.004260931758802353,0.000496859389927545,0.0024080842795179075,0.007165875428247806,0.0004956394133830898,0,0.000051873423863671425,0.0005475128372467612,0.0010971817459801728,0.01048357158284055,0.012128266166067485,0.00045775826533069335,0,0.00004824116041413861,0.000505999425744832,0.0002742954364950432,0.004492959249788806,0.005273254112028681,0.001437986226223978,0.0000050351343475672085,0.000012420310046728874,0.001455441670618274,0.004232442028096138,0.000011852868917086953,0.002525379154562788,0.006769674051576012,15.524400665248283
MCAG,2016,LHD1,Aggregated,Aggregated,DSL,4629.304788275357,180331.52555112253,58230.83057108036,0.04131623092755935,0.0005600964828631442,0,0.04187632741042249,0,0,0,0,0.04187632741042249,0.047035782021356276,0.0006376326079953827,0,0.04767341462935166,0,0,0,0,0.04767341462935166,0.18694232112251977,0.004642368685260662,0,0.19158468980778043,0.7950404213200727,0.013161721616850022,0,0.8082021429369227,117.91568857222609,0.7263781406076799,0,118.64206671283377,0.0019190599535071177,0.000026015411043844223,0,0.001945075364550962,0.007979228737262612,0.00014829942068739604,0,0.008127528157950007,0.0023853777639750323,0.015194856356520948,0.025707762278445987,0.007634050834141593,0.0001418840533940781,0,0.007775934887535672,0.0005963444409937581,0.006512081295651836,0.014884360624181265,0.0011147273084252177,0.000006866885648405853,0,0.0011215941940736236,0.01853470417090798,0.00011417652829234023,0,0.018648880699200322,10.573740523190024
